Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad
¿Requerido?;Sí;Sí;Sí;Sí;Sí;Sí;No;Condicional;Condicional;Condicional;Condicional;Condicional;No;Condicional;No;No;;
Tipo Validación;Cruzada;Cruzada;Cruzada;Cruzada;Independiente;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;;
Tipo de Dato;String;Integer;String;String;String;Array;String;File;String;String;String;Array;String;String;Integer;Array;;
1;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
2;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(texto típico con una única variable {{1}});(longitud mínima, 1 carácter);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
3;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(longitud mínima, 1 carácter);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
4;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(texto típico con una única variable {{1}});(longitud máxima, 60 caracteres);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
5;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(longitud máxima, con una única variable {{1}}, 60 caracteres);(cadena que alterna entre mayúsculas y minúsculas);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
6;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(cadena que alterna entre mayúsculas y minúsculas, con una única variable {{1}});(caracteres especiales);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
7;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(caracteres especiales, con una única variable {{1}});(valor típico correspondiente a la variable del header);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
