Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad
¿Requerido?;Sí;Sí;Sí;Sí;Sí;Sí;No;Condicional;Condicional;Condicional;Condicional;Condicional;No;Condicional;No;No;;
Tipo Validación;Cruzada;Cruzada;Cruzada;Cruzada;Independiente;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;;
Tipo de Dato;String;Integer;String;String;String;Array;String;File;String;String;String;Array;String;String;Integer;Array;;
1;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo JPEG válido, tamaño típico);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
2;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo PNG válido, tamaño típico);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
3;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo JPEG de tamaño exactamente 5MB, límite máximo);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
4;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo PNG de tamaño exactamente 5MB, límite máximo);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto
5;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(ausente cuando type=IMAGE);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
6;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo de tipo no permitido para IMAGE, ej. PDF);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
7;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);IMAGE;(archivo JPEG/PNG que excede 5MB);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
