Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad
¿Requerido?;Sí;Sí;Sí;Sí;Sí;Sí;No;Condicional;Condicional;Condicional;Condicional;Condicional;No;Condicional;No;No;;
Tipo Validación;Cruzada;Cruzada;Cruzada;Cruzada;Independiente;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;;
Tipo de Dato;String;Integer;String;String;String;Array;String;File;String;String;String;Array;String;String;Integer;Array;;
1;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(ausente);(ausente);200;alto
2;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);false;(mínimo del rango, 1);(ausente);200;alto
3;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);1;(valor típico dentro del rango);(ausente);200;alto
4;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);0;(máximo del rango, 90);(ausente);200;alto
5;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(valor fuera de la lista blanca);(ausente);(ausente);400;alto
6;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente cuando category=AUTHENTICATION);(ausente);(ausente);400;alto
7;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(vacío);(ausente);(ausente);400;medio
8;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(valor de la lista blanca en mayúsculas, ej. TRUE);(ausente);(ausente);400;alto
9;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(cero);(ausente);400;alto
10;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(máximo + 1, 91);(ausente);400;alto
11;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(tipo de dato incorrecto, string no numérico);(ausente);400;medio
12;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(vacío);(ausente);400;medio
13;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(caracteres especiales);(ausente);400;medio
14;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);(ausente);true;(cadena que alterna entre mayúsculas y minúsculas);(ausente);400;medio
