Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad
¿Requerido?;Sí;Sí;Sí;Sí;Sí;Sí;No;Condicional;Condicional;Condicional;Condicional;Condicional;No;Condicional;No;No;;
Tipo Validación;Cruzada;Cruzada;Cruzada;Cruzada;Independiente;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;;
Tipo de Dato;String;Integer;String;String;String;Array;String;File;String;String;String;Array;String;String;Integer;Array;;
1 (cruzada: type+file);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(archivo presente cuando type=TEXT o ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
2 (cruzada: type+header);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);DOCUMENT;(archivo PDF válido, tamaño típico);(presente cuando type≠TEXT);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
3 (cruzada: header+header_var);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);TEXT;(ausente);(texto típico sin variables, longitud media);(presente cuando header no contiene variable);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
4 (cruzada: type+header_var);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);DOCUMENT;(archivo PDF válido, tamaño típico);(ausente);(presente cuando type≠TEXT);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
5 (cruzada: category+body);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(presente cuando category=AUTHENTICATION);(ausente);(texto típico sin variables, longitud media);true;(ausente);(ausente);400;alto
6 (cruzada: body+body_var);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(presente cuando body no contiene variables);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
7 (cruzada: category+body_var);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente);(presente cuando category=AUTHENTICATION);(texto típico sin variables, longitud media);true;(ausente);(ausente);400;alto
8 (cruzada: category+footer);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(presente cuando category=AUTHENTICATION);true;(ausente);(ausente);400;alto
9 (cruzada: category+security);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(presente cuando category≠AUTHENTICATION);(ausente);(ausente);400;alto
10 (cruzada: category+expiration);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(presente cuando category≠AUTHENTICATION);(ausente);400;alto
11 (cruzada: category+buttons);(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);AUTHENTICATION;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);true;(ausente);(presente cuando category=AUTHENTICATION);400;alto
